load,compose-post-service,home-timeline-redis,home-timeline-service,jaeger,media-frontend,media-memcached,media-mongodb,media-service,nginx-thrift,post-storage-memcached,post-storage-mongodb,post-storage-service,social-graph-mongodb,social-graph-redis,social-graph-service,text-service,unique-id-service,url-shorten-memcached,url-shorten-mongodb,url-shorten-service,user-memcached,user-mention-service,user-mongodb,user-service,user-timeline-mongodb,user-timeline-redis,user-timeline-service
25,0.05211588831839081,0.001974212643678161,0.012063241379310346,0.05560672030651342,0.00031033908045977016,0.00048280459770114946,0.006142137931034484,0.006896879310344829,0.04321063793103449,0.0004783678160919541,0.016626132183908047,0.012875534482758622,0.01394066666666667,0.004406701149425288,0.018330931034482762,0.02439487068965518,0.007272646551724139,0.0004798103448275863,0.09809025862068968,0.010399146551724138,0.00785554022988506,0.022810179089655176,0.013635810344827587,0.007003413793103448,0.12406567816091955,0.005148396551724139,0.017751727011494255
50,0.08096889080459771,0.002033574712643679,0.021837712643678165,0.11008089080459772,0.00030351724137931037,0.00047893103448275865,0.0062984482758620675,0.012585149425287358,0.07947586781609196,0.000494287356321839,0.025740727011494255,0.02469366091954023,0.020489000000000004,0.007113040229885058,0.03408275287356322,0.04025969252873564,0.013568724137931037,0.0004828390804597702,0.10983332183908044,0.01848591954022989,0.014971212643678162,0.035522784482758626,0.019877105363984675,0.012641362068965519,0.16433916666666665,0.00821566091954023,0.03377022988505747
75,0.11264364323784147,0.0022026264367816105,0.029968643678160923,0.14571411494252876,0.0003326864772144241,0.0005270287356321839,0.006457344827586208,0.0143119219786371,0.11696089655172413,0.0004957298850574714,0.036220850574712644,0.03248693103448276,0.02327754310344828,0.009342724137931035,0.04763606609195404,0.0579711551724138,0.019137517241379312,0.0004769887415365031,0.1146522189881076,0.025550807471264366,0.02154261781609196,0.06587270114942528,0.026516890804597706,0.01762021264367816,0.20946009195402301,0.011163390804597703,0.05028636206896553
100,0.1567925172413793,0.002214201149425288,0.041424103448275865,0.20189623563218392,0.00030760344827586206,0.00047636781609195416,0.005979649425287358,0.023634758620689655,0.14679856321839085,0.000492465517241379,0.045352270114942535,0.04447554310344828,0.03347625862068967,0.011920597701149427,0.07041912068965518,0.07582233333333338,0.02519390517241379,0.0005116609195402301,0.1131887011494253,0.035125925287356335,0.02767711494252874,0.08188631609195403,0.02879364942528736,0.022097247126436785,0.22770756896551733,0.015134045977011496,0.06951653160919541
125,0.1757584827586207,0.00230483908045977,0.047696247126436775,0.23197675000000004,0.00033199712643678167,0.0004778793103448275,0.006368454022988512,0.027247362068965518,0.1813545459770115,0.0005239770114942532,0.05086368965517241,0.052620264367816104,0.036233379310344815,0.014811772988505752,0.08586926436781614,0.08807850574712647,0.030797913793103458,0.00047879310344827586,0.119131617816092,0.041804729885057484,0.03405877298850575,0.10300567816091953,0.03852723563218391,0.02976258045977013,0.2511488045977012,0.0184150459770115,0.07934645689655175
150,0.22715893678160928,0.0021322356321839078,0.059485632183908045,0.2807293505747126,0.0003478045977011496,0.0004759885057471268,0.00663794252873564,0.031166520114942524,0.19739259770114945,0.0005040977011494255,0.06071655459770116,0.06498504022988506,0.03890823850574714,0.016885183908045973,0.09583060344827589,0.10715143678160922,0.038124097701149426,0.00046486781609195437,0.1319279655172414,0.04849553065134099,0.042762574712643685,0.12740855747126434,0.04510449425287356,0.034944103448275865,0.2938056206896552,0.022759827586206902,0.10346960344827585
175,0.2254332068965518,0.002211187739463601,0.05669218965517241,0.3943442241379311,0.00032979310344827587,0.0004875019157088126,0.007332419540229885,0.03497299425287355,0.21124572988505746,0.0005127720306513413,0.06780513218390805,0.07540661494252875,0.05062190804597701,0.01838345019157088,0.10940229118773948,0.12961881034482764,0.04134914942528734,0.00043224137931034456,0.13056984482758627,0.05750573946360153,0.04212596551724138,0.14208915229885058,0.04833403448275863,0.035332637931034486,0.2803116436781609,0.027232502873563217,0.11347058429118771
200,0.26994892528735637,0.002204111111111111,0.07437697701149427,0.47007135344827594,0.000293876436781609,0.00047739080459770103,0.006465160919540237,0.04347034482758622,0.25778543103448287,0.0004800689655172411,0.07827520881226051,0.07484664367816092,0.05499175670498083,0.021237507662835248,0.12193513984674334,0.12886795977011498,0.04380361685823756,0.0004462729885057474,0.12669374712643675,0.06090063218390804,0.053656034482758644,0.14235351915708816,0.0519761551724138,0.0433155948275862,0.29764467049808424,0.027255499999999985,0.1181589195402299
225,0.3262738486590038,0.002375925287356322,0.07521243486590039,0.4813646149425289,0.0003402116858237553,0.0005058736895709371,0.006162482758620693,0.04216063218390804,0.2777557126436781,0.0004666688251938074,0.08580412068965519,0.09299073563218396,0.05093244827586211,0.022050322664200896,0.11768806212524986,0.15928496934865896,0.05314168773946361,0.0005120038314176256,0.14721347126436776,0.06782648648410636,0.0575910153256705,0.16292890996168588,0.0644949971264368,0.04689094252873563,0.3515481695287432,0.028310695402298837,0.1380503589120663
250,0.3606436436781607,0.002197103448275863,0.08690650957854408,0.46846037356321857,0.0003167011494252873,0.0004979511494252873,0.006573821839080474,0.05554817241379311,0.3075180833333332,0.0004688735632183902,0.09497458333333336,0.09109639080459767,0.06756667528735634,0.023795287356321845,0.15131397701149427,0.17966294636015334,0.05481821264367814,0.00045877586206896523,0.14384612643678157,0.07392864942528736,0.06642348850574714,0.18313900287356327,0.06357798275862073,0.04975298850574711,0.4106120459770114,0.03194499233716478,0.16249621839080458
275,0.3616035833333334,0.0021930660919540243,0.09436732471264364,0.544541551724138,0.0003280459770114944,0.0004992873563218383,0.006127885057471257,0.054357071839080444,0.3214709080459769,0.0004918218390804599,0.10030197701149429,0.11170979310344827,0.061662287356321815,0.025386252873563234,0.1450747298850576,0.18259394252873562,0.060926235632183884,0.0005244540229885063,0.15923440229885072,0.07916149137931035,0.0690190689655173,0.19627447126436784,0.07537326436781609,0.05700721264367817,0.4267894540229883,0.03612009195402301,0.1722582011494253
300,0.4078616954022986,0.0022826781609195383,0.08956575287356314,0.660542362068966,0.00034600574712643654,0.00047974712643678225,0.006825985632183901,0.06015348275862071,0.32819060344827594,0.0004964080459770121,0.10464737356321838,0.11873949425287361,0.0741609885057471,0.028028844827586236,0.16985439080459774,0.20430606609195398,0.0705696091954023,0.000453396551724137,0.15124379885057485,0.08597557471264364,0.06348460632183908,0.20800767816091947,0.07483745402298857,0.05891481609195401,0.46865690804597687,0.03887951724137932,0.18867517241379314
325,0.448123028735632,0.0021551724137931034,0.11357878160919543,0.6544261954022986,0.00030110344827586206,0.000472034482758621,0.0063994482758620635,0.071359091954023,0.364556252873563,0.0004876379310344838,0.12330194827586198,0.12391110344827584,0.08251109770114941,0.028684479885057478,0.1791135431034483,0.2281869856321839,0.07297314367816093,0.00048044252873563175,0.15193129885057458,0.09157078735632186,0.0839946206896552,0.22440808620689662,0.08425521839080455,0.06590225287356324,0.5337598735632187,0.04048747126436783,0.21282545402298858
350,0.4947745804597702,0.002347275862068963,0.12270120689655173,0.717565356321839,0.00027493965517241337,0.0004468850574712644,0.006713074712643679,0.07584770689655175,0.3849154195402299,0.0004617471264367815,0.13450254597701142,0.14200245977011494,0.08952818965517242,0.03034047701149426,0.19870680459770132,0.2488315833333335,0.07999377586206893,0.00048399999999999913,0.17057283908045998,0.10643350000000003,0.09123178735632184,0.246239011494253,0.09481621839080465,0.07138571839080461,0.5909548994252872,0.04900473850574713,0.20037596551724157
375,0.5272283764367822,0.002407577586206896,0.1342691954022989,0.7128833965517233,0.0003256925287356319,0.0004895402298850573,0.006422649425287373,0.07194276436781609,0.3813429252873562,0.00047079310344827594,0.14957667241379313,0.15199655747126448,0.09107159195402292,0.03286666570881228,0.21456113314176248,0.261278574712644,0.08588712068965522,0.00047325287356321863,0.1863229770114941,0.10312275383141764,0.09176206321839082,0.2822779454022986,0.09942657471264368,0.07439771264367823,0.6096290038314179,0.05115830459770115,0.25960597126436785
400,0.571469316091954,0.002376752873563222,0.14511712068965524,0.7654734252873562,0.000283137931034483,0.00046413409961685827,0.006165434865900386,0.0874412586206897,0.3744543429118775,0.00048484482758620796,0.14514981417624523,0.1544785689655173,0.09780034865900383,0.036062128352490445,0.24445262452107278,0.2876933467432951,0.08835416666666669,0.0004817931034482754,0.1658101149425285,0.10901437356321843,0.09545344252873561,0.2328592241379309,0.10097101149425297,0.07236943678160926,0.6792074961685824,0.053841859195402325,0.28088415900383146
425,0.5808003256704983,0.002460043103448281,0.1555655478927204,0.8201736082375481,0.0002878639846743297,0.00045712068965517004,0.0065379712643678185,0.07663558429118773,0.40344640229885054,0.0004965201149425283,0.15279236206896568,0.1711624597701152,0.0999279597701149,0.038282436781609246,0.24159902011494255,0.29720234099616877,0.09710753256704983,0.0005135977011494257,0.1847734195402297,0.1156525804597701,0.1016726187739464,0.2983123333333334,0.10988979310344821,0.08222663601532566,0.7674482126436781,0.056364494252873584,0.28452592816091954
450,0.6524478620689651,0.0024141637931034514,0.1541498084291186,0.8466190866514891,0.00034416666666666645,0.00047009770114942476,0.006232626436781605,0.09646978544061297,0.4319128323754788,0.0005154396551724138,0.15462413218390783,0.1605946197318007,0.11205429789272024,0.041630505747126435,0.266666908045977,0.3233599109195402,0.09611213314176238,0.00042687356321839134,0.17981768965517236,0.13047991954022992,0.11092120114942536,0.29602525957854425,0.11447618007662846,0.0915558946360153,0.8225105517241388,0.05848067528735632,0.2873418160919541
475,0.6849015402298858,0.002419440613026816,0.17711193103448278,0.9351154770114952,0.0002756494252873562,0.0004775536398467419,0.006548099616858245,0.10171834482758625,0.44977979310344796,0.00048368007662835156,0.1715582720306512,0.17802347892720316,0.1199261187739463,0.043028252873563266,0.2887019693486591,0.319228293103448,0.10298709003831415,0.000493568965517242,0.19322257183908073,0.12943356130268197,0.10989083908045992,0.2811248275862067,0.11779721264367814,0.09059292241379314,0.8849781226053631,0.06077471360153256,0.32061659961685846
500,0.7106940689655171,0.002485813218390808,0.18250920689655167,0.9417604252873557,0.0002853333333333329,0.0004561724137931038,0.006658778735632193,0.10791993965517235,0.4775439482758618,0.00043388505747126577,0.1838316896551725,0.20186849999999995,0.12023048850574716,0.04561439655172416,0.2988768505747123,0.3289924655172414,0.11594394827586205,0.000491896551724137,0.19744766666666658,0.13954250574712643,0.1117465114942529,0.3311632413793108,0.13010906896551747,0.10063912643678151,0.9776392873563214,0.06937315517241376,0.2977645919540233
525,0.7529366724137939,0.002673772988505745,0.1855372701149428,0.9879459655172422,0.00031643103448275844,0.000491956896551724,0.006799735632183919,0.09813996839080466,0.5105426522988511,0.00048292816091954145,0.17502097701149436,0.2077614913793102,0.11622365229885076,0.04651197701149428,0.3005180862068965,0.36680601724137946,0.1218669597701149,0.00046847701149425294,0.19771369540229908,0.1385259540229886,0.10459369827586215,0.35129841379310317,0.13077080459770116,0.10211820689655167,0.970773114942529,0.0692598045977012,0.35727839655172394
550,0.7453356475095786,0.002669109195402301,0.2050940344827588,1.0195229980842915,0.00028114176245210796,0.0004844885057471263,0.00628937356321841,0.11687235057471268,0.5029508735632193,0.00047276149425287277,0.2199774137931035,0.2107697816091955,0.13888619827586213,0.05398510632183908,0.35968177586206873,0.3732936091954019,0.12510387356321848,0.00045396743295019083,0.20680874329501894,0.15764265517241383,0.13470504980842912,0.37515777011494217,0.12837860919540225,0.1103602931034482,1.128369275862068,0.07664038505747134,0.36810642528735643
575,0.7943110862068956,0.002648781609195396,0.22222108333333324,1.08724016091954,0.00027624137931034457,0.0005068793103448281,0.006823574712643694,0.12355043678160914,0.5466594856321841,0.00047820689655172393,0.20054159195402288,0.23498682758620712,0.14505152873563223,0.051656511494252925,0.35762490804597685,0.3947121839080459,0.124747683908046,0.00049612643678161,0.213662971264368,0.15443953448275866,0.13239089080459784,0.36549304022988494,0.1435356551724139,0.12014536781609195,1.2223033994252872,0.08202819540229889,0.3227793218390803
600,0.8373351034482749,0.002543068965517241,0.2245721091954022,1.1755825632183918,0.00031527011494252965,0.00046573563218390776,0.0066681293103448116,0.12320703448275887,0.5183535114942539,0.0004682701149425305,0.2088533218390806,0.2225965804597702,0.141547379310345,0.05503478160919552,0.34916805172413773,0.4045375344827588,0.1248133735632185,0.00044723563218390856,0.1985937873563222,0.15710346551724144,0.137564764367816,0.40757380459770093,0.1558282356321838,0.12867267241379318,1.2713379482758616,0.08486387356321837,0.38235331321839044
625,0.7722831915708814,0.002691344827586203,0.22804634386973152,1.1808128103448274,0.00026691283524904106,0.000454212643678163,0.006281298850574741,0.12427564463601543,0.4984128563218391,0.00047336206896551614,0.22735516666666636,0.22899570114942508,0.1548902298850576,0.05709521839080452,0.38891706321839076,0.40733164942528766,0.13909670689655182,0.0004258103448275887,0.2128777825670493,0.16237369540229896,0.13795306704980848,0.3397071034482756,0.16300607567049796,0.1262856666666668,1.3928986091954014,0.08221849425287354,0.32132837931034447
650,0.835555034482758,0.0025218908045976964,0.23701377586206918,1.1766283505747137,0.00027072988505747137,0.00045556321839080406,0.006394942528735609,0.12091520689655201,0.5602916264367807,0.00042447126436781605,0.2225501091954021,0.26395198275862125,0.1481167931034485,0.06073025287356315,0.392143442528736,0.41553848275862104,0.14615172413793118,0.00043129310344827736,0.21404949999999978,0.16370021264367815,0.15177438505747137,0.4063604195402301,0.15775381609195402,0.13112465517241373,1.5747990114942518,0.08984170689655183,0.3836154712643673
675,0.7783563946360168,0.002707431034482757,0.25214201724137925,1.2690355574712644,0.0002586666666666676,0.000450899425287356,0.006572127057057748,0.13790744827586185,0.5441584367816095,0.00044656609195402184,0.23478725862068967,0.2619370138145455,0.1594079942528735,0.06284514655172425,0.4043569770114943,0.40484767075589495,0.15018893506782288,0.00046327203065134,0.22297665517241344,0.15773201149425303,0.15844834674329514,0.36239372753483207,0.1585507988505749,0.13909622413793105,1.6476086034482755,0.09194117335569395,0.33330866954022914
700,0.7778104511494257,0.002665442528735632,0.2360341666666665,1.180895097701148,0.0002661091954022988,0.00043054022988505585,0.006097712643678173,0.13469107183908036,0.5609589482758621,0.00046640517241379454,0.24688781034482704,0.2544242816091953,0.15762352873563215,0.06098183908045975,0.4066330919540228,0.397288931034483,0.15250146264367806,0.00043445977011494257,0.2181021954022997,0.15558413218390843,0.15782720689655166,0.35919736781609224,0.16400320977011487,0.13676646551724114,1.7624656379310357,0.0941463793103448,0.34838997126436805
